jobId,blockId,familyId,dependencyDirection,repeat,condition,status,hardPass,failureCode,abstained,confidentWrong,topologyValid,observedFirstRole,upstreamPassedToSecond,lifecycleValid,parentProviderContextTokens,parentMessageBytes,treeTokens,wallTimeMs
sha256:4fd5364eb489e3090dc17ef451dee4c81e71cb394e0549f71fad6e396fa576e2,independent-budget:r1,independent-budget,independent,1,OBSERVATION_FIRST,completed,true,,false,false,true,observation,true,true,955,4329,24636,24918.683291
sha256:064745eb021f1d9c73f9ec3a277ca73866519e0b31d95d3378c65a3de827c69f,independent-budget:r1,independent-budget,independent,1,PARALLEL_JOIN,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,1230,5341,23042,30767.490292
sha256:eb06d40be01a85fb0a413d6ff87472965722d36a5c6be8c7416673d6a7e87488,independent-budget:r1,independent-budget,independent,1,CONSTRAINT_FIRST,completed,true,,false,false,true,constraint,true,true,936,4257,24505,22259.016167
sha256:93f30f92a6a7710d931d827f2153298e358e0a45b013d0578425c9ea144b4eca,independent-budget:r2,independent-budget,independent,2,CONSTRAINT_FIRST,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,961,4327,25304,60264.765542
sha256:75e0744ac03989d4f3aff308b6c7120ffb6bb938ebed02bd8d43c195fb5a8e71,independent-budget:r2,independent-budget,independent,2,ADAPTIVE_ORDER,completed,true,,false,false,true,constraint,true,true,963,4323,25182,31581.258
sha256:cb7946270ef584f9886768e40dea06bd4e7b2a65572cd158cd4f720fd28c0007,independent-budget:r2,independent-budget,independent,2,OBSERVATION_FIRST,completed,true,,false,false,true,observation,true,true,968,4312,24493,21932.25575
sha256:b91f6f1138e1dd1b4eddb2b0ecda8858c0d782931374f0798e12297b83d18b3f,independent-budget:r2,independent-budget,independent,2,PARALLEL_JOIN,completed,true,,false,false,true,parallel,false,true,1038,4204,21308,16147.494292
sha256:aa3d13a2cb916f49aaa3ec2a818a22eb5d881e473f292a77848ff0b5f2740cbb,independent-budget:r3,independent-budget,independent,3,ADAPTIVE_ORDER,completed,true,,false,false,true,constraint,true,true,1174,5049,27208,44141.801917
sha256:0a7c2c5410aabf3a13d1425c001ccc0d4dd3933c2a2a4e42d3a76ba570c5ee93,independent-budget:r3,independent-budget,independent,3,PARALLEL_JOIN,completed,true,,false,false,true,parallel,false,true,1065,4465,21260,45793.168
sha256:47304c688e167e8b81eb9d4702470bd9ea54efafff5d127140ef014b4df920b6,independent-budget:r3,independent-budget,independent,3,CONSTRAINT_FIRST,completed,true,,false,false,true,constraint,true,true,950,4293,24542,24887.95375
sha256:bd8161b29feb4b856251c4288a2c94655de976b3c736fbfaa5f388e00dcefddc,independent-budget:r3,independent-budget,independent,3,OBSERVATION_FIRST,completed,true,,false,false,true,observation,true,true,988,4532,26076,37519.300334
