contrast,lhs,rhs,definition,metric,metric_label,unit,n_pairs,n_tasks,n_families,n_observed_metric_families,n_metric_complete_families,n_analysis_tasks,n_candidate_pairs,n_candidate_tasks,n_candidate_families,n_arm_complete_pairs,n_arm_complete_tasks,n_arm_complete_families,coverage_basis,missing_lhs_runs,missing_rhs_runs,missing_metric_pairs,missing_family_candidate_tasks,lhs_pair_mean,rhs_pair_mean,estimate,ci_low,ci_high,task_cluster_estimate,task_cluster_ci_low,task_cluster_ci_high,median_pair_delta
grant_selection_cost,BOUNDED_ORACLE,BOUNDED_INFERRED,BOUNDED_ORACLE - BOUNDED_INFERRED,need_resource_count,NEED_RESOURCE count,requests,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resource_request_value,BOUNDED_NEED_RESOURCE,BOUNDED_INFERRED,BOUNDED_NEED_RESOURCE - BOUNDED_INFERRED,semantic_pass,semantic pass,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resource_request_value,BOUNDED_NEED_RESOURCE,BOUNDED_INFERRED,BOUNDED_NEED_RESOURCE - BOUNDED_INFERRED,policy_pass,policy pass,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resource_request_value,BOUNDED_NEED_RESOURCE,BOUNDED_INFERRED,BOUNDED_NEED_RESOURCE - BOUNDED_INFERRED,hard_pass,Hard Pass,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resource_request_value,BOUNDED_NEED_RESOURCE,BOUNDED_INFERRED,BOUNDED_NEED_RESOURCE - BOUNDED_INFERRED,first_schema_valid,first-schema valid,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resource_request_value,BOUNDED_NEED_RESOURCE,BOUNDED_INFERRED,BOUNDED_NEED_RESOURCE - BOUNDED_INFERRED,final_schema_valid,final-schema valid,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resource_request_value,BOUNDED_NEED_RESOURCE,BOUNDED_INFERRED,BOUNDED_NEED_RESOURCE - BOUNDED_INFERRED,response_contract_valid,response-contract valid,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resource_request_value,BOUNDED_NEED_RESOURCE,BOUNDED_INFERRED,BOUNDED_NEED_RESOURCE - BOUNDED_INFERRED,abstained,abstained,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resource_request_value,BOUNDED_NEED_RESOURCE,BOUNDED_INFERRED,BOUNDED_NEED_RESOURCE - BOUNDED_INFERRED,answer_candidate_count,answer candidate count,candidates,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,3.857142857142857,3.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resource_request_value,BOUNDED_NEED_RESOURCE,BOUNDED_INFERRED,BOUNDED_NEED_RESOURCE - BOUNDED_INFERRED,chance_reference,uniform-guess 1/K reference,ratio,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.2619047619047619,0.2619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
